Gestionnaire;Nom de l'OPC;Type d'OPC;Catégorie;Date;Valeur Liquidative; Actif net 
SGCAMWA;SOGESECURITE;FCP;Obligataire (OLMT);30/06/2023;5 195;23 378 755 742
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;FCP;Obligataire (OLMT);30/06/2023;1 278;7 944 713 520
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;FCP;Diversifié;30/06/2023;1 296;392 041 491
AFRICABOURSE ASSET MANAGEMENT;OBLIGATIS;FCP;Obligataire (OLMT);30/06/2023;8 753;34 946 264 286
AFRICABOURSE ASSET MANAGEMENT;CAPITAL SUR;FCP;Monétaire (OCT);30/06/2023;8 149;461 899 009
AFRICABOURSE ASSET MANAGEMENT;EPARGNE CROISSANCE;FCP;Diversifié;30/06/2023;8 065;5 921 763 384
AFRICABOURSE ASSET MANAGEMENT;EPARGNE ACTION;FCP;Actions ;30/06/2023;5 823;1 265 040 744
SOAGA;SOAGA EPARGNE SERENITE;FCP;Obligataire (OLMT);30/06/2023;14 514;46 694 040 277
SOAGA;SOAGA EPARGNE OBLIGATIONS;FCP;Obligataire (OLMT);30/06/2023;5 654;39 002 209 078
SOAGA;SICAV ABDOU DIOUF;SICAV;Diversifié;30/06/2023;15 097 865;21 455 486 770
SOAGA;SOAGA EPARGNE ACTIVE;FCP;Diversifié;30/06/2023;11 004;12 367 899 150
SOAGA;SOAGA EPARGNE ACTIONS;FCP;Actions ;30/06/2023;8 726;5 641 150 105
SOAGA;BOAD CAPITAL RETRAITE;FCP;Obligataire (OLMT);30/06/2023;12 223;799 019 771
SOAGA;SOAGA EPARGNE DYNAMIQUE;FCP;Actions ;30/06/2023;5 150;119 035 043
SOAGA;SOAGA EPARGNE QUIETUDE;FCP;Obligataire (OLMT);30/06/2023;5 132;147 441 973
BRIDGE ASSET MANAGEMENT;BRIDGE OBLIGATIONS;FCP;Obligataire (OLMT);30/06/2023;5 973;36 546 101 756
BRIDGE ASSET MANAGEMENT;BRIDGE EQUILIBRE;FCP;Diversifié;30/06/2023;29 699 839;3 657 428 248
BRIDGE ASSET MANAGEMENT;BRIDGE DIVERSIFIE CROISSANCE;FCP;Diversifié;30/06/2023;5 759;918 301 693
AFRICA ASSET MANAGEMENT;VALORIS;FCP;Actions ;30/06/2023;8 889;1 875 327 096
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP;Diversifié;30/06/2023;9 719;901 130 994
AFRICA ASSET MANAGEMENT;MAADO;FCPE;Diversifié;30/06/2023;5 186;52 156 906
AFRICA ASSET MANAGEMENT;CMT SONABEL;FCPE;Diversifié;30/06/2023;5 055;50 545 614
AFRICA ASSET MANAGEMENT;SECURITAS;FCP;Obligataire (OLMT);30/06/2023;7 355;1 245 072 172
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM DYNAMIQUE;FCP;Diversifié;30/06/2023;14 349;442 698 608
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM OBLIGATAIRE;FCP;Diversifié;30/06/2023;16 331;522 320 036
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);SDE;FCPE;Diversifié;30/06/2023;2 808;859 948 820
CORIS ASSET MANAGEMENT;CORIS ACTIONS;FCP;Actions ;30/06/2023;6 716;846 777 233
CORIS ASSET MANAGEMENT;ASSURANCES;FCP;Diversifié;30/06/2023;7 068;987 393 574
CORIS ASSET MANAGEMENT;CORIS PERFORMANCE;FCP;Monétaire (OCT);30/06/2023;5 514;643 924 343
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI OBLIG ; SICAV ; Obligataire (OLMT) ;30/06/2023;13 391;48 914 177 701
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI LIQUIDITE ; FCP ; Monétaire (OCT) ;30/06/2023;13 498;1 567 067 471
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI HORIZON ; FCP ; Obligataire (OLMT) ;30/06/2023;15 036;15 392 232 177
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI ACTIONS ; FCP ; Actions  ;30/06/2023;13 820;217 918 036
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI DIVERSIFIE ; FCP ; Diversifié ;30/06/2023;15 552;233 778 183
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI INVEST ; FCP ; Obligataire (OLMT) ;30/06/2023;14 145;22 502 740 773
 ATTIJARI ASSET MANAGEMENT ; ATTIJARI PATRIMOINE ; FCP ; Obligataire (OLMT) ;30/06/2023;14 379;61 308 479 587
 ATTIJARI ASSET MANAGEMENT ; CRBC PROSPERITE ; FCP ; Obligataire (OLMT) ;30/06/2023;10 714;26 455 943 997
 ATTIJARI ASSET MANAGEMENT ; WAFA ASSURANCE UEMOA ; FCP ; Obligataire (OLMT) ;30/06/2023;10 052;100 521 767
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE CROISSANCE;FCP;Diversifié;30/06/2023;5 051;15 908 136 735
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE;FCP;Obligataire (OLMT);30/06/2023;6 582;55 969 085 063
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SERENITE;FCP;Obligataire (OLMT);30/06/2023;6 219;37 479 520 086
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE LIQUIDITE;FCP;Monétaire (OCT);30/06/2023;6 010;2 810 132 587
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE HORIZON;FCP;Diversifié;30/06/2023;7 144;171 019 073
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTION;FCP;Actions ;30/06/2023;7 431;150 956 552
ATLANTIC ASSET MANAGEMENT;IFC ATLANTIQUE;FCP;Obligataire (OLMT);30/06/2023;1 187 068;7 294 088 172
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE PRESTIGE;FCP;Obligataire (OLMT);30/06/2023;1 053 210;20 306 442 943
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE PLUS;FCP;Obligataire (OLMT);30/06/2023;10 532;26 599 385 211
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE OBLIGATIONS;FCP;Obligataire (OLMT);30/06/2023;10 675;209 439 971
SGO MALI FINANCES;NYESIGUI;FCP;Diversifié;30/06/2023;12 153;590 919 188
SGO MALI FINANCES;ORANGE ML;FCPE;Diversifié;30/06/2023;29 125;3 514 600 902
SGO MALI FINANCES;TOUNKARANKE;FCP;Obligataire (OLMT);30/06/2023;114 037;838 276 311
NSIA ASSET MANAGEMENT;NSIA FONDS DIVERSIFIE;FCP;Diversifié;30/06/2023;5 583;13 887 361 133
NSIA ASSET MANAGEMENT;AURORE OPPORTUNITES;FCP;Actions ;30/06/2023;5 828;1 420 673 798
NSIA ASSET MANAGEMENT;EVOLUTIS;FCPE;Diversifié;30/06/2023;4 208;944 885 392
NSIA ASSET MANAGEMENT;AURORE SECURITE;FCP;Obligataire (OLMT);30/06/2023;5 461;16 041 641 175
NSIA ASSET MANAGEMENT;NSIA ASSURANCES OPTIMUM;FCP;Diversifié;30/06/2023;984 164;3 502 742 726
PHOENIXAFRICA ASSET MANAGEMENT;PAM ACTIONS;FCP;Actions ;30/06/2023;12 588;561 276 501
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE EQUILIBRE;FCP;Diversifié;30/06/2023;13 555;879 834 162
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE OBLIGATIONS;FCP;Diversifié;30/06/2023;12 832;1 946 365 088
SGA2E;SODECI;FCPE;Diversifié;30/06/2023;9 309;18 867 115 132
SGA2E;CIE;FCPE;Diversifié;30/06/2023;7 693;38 424 110 062
OPTI ASSET MANAGEMENT;OPTI PLACEMENT 1;FCP;Actions ;30/06/2023;15 607;682 565 518
OPTI ASSET MANAGEMENT;OPTI REVENU 2;FCP;Obligataire (OLMT);30/06/2023;8 395;9 446 942 602
OPTI ASSET MANAGEMENT;OPTI CAPITAL 3;FCP;Diversifié;30/06/2023;19 096;1 137 344 960
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL GARANTI;FCP;Diversifié;30/06/2023;14 591;1 047 766 160
ENKO CAPITAL WEST AFRICA;PATRIMOINE;FCP;Obligataire (OLMT);30/06/2023;11 623;25 776 888 996
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL OBLIGATIONS;FCP;Obligataire (OLMT);30/06/2023;10 736;2 217 619 383
BOA CAPITAL CAM;BOA PREMIUM;FCP;Diversifié;30/06/2023;77 998;167 009 354
BOA CAPITAL CAM;BOA ACTIONS;FCP;Actions ;30/06/2023;12 098;280 764 913
BOA CAPITAL CAM;SAHAM PERFORMANCE;FCP;Actions ;30/06/2023;140 417;349 076 876
BOA CAPITAL CAM;BOA INVESTMENT;FCP;Obligataire (OLMT);30/06/2023;37 736 347;11 848 454 231
BOA CAPITAL CAM;GLOBAL INVESTORS;FCP;Diversifié;30/06/2023;30 038;10 625 002 029
BOA CAPITAL CAM;EMERGENCE;FCP;Diversifié;30/06/2023;7 407;26 569 696 621
BOA CAPITAL CAM;BOA SECURITE;FCP;Obligataire (OLMT);30/06/2023;111 329;31 859 561 712
BOA CAPITAL CAM;BOA OBLIGATIONS;FCP;Obligataire (OLMT);30/06/2023;12 541;50 018 850 383
BOA CAPITAL CAM;BOA RENDEMENT;FCP;Obligataire (OLMT);30/06/2023;34 642 873;46 089 380 074
BNI GESTION;OBLIG SECURITE;FCP;Obligataire (OLMT);30/06/2023;9 894;114 773 069
BNI GESTION;KARIMA ETHIQUE;FCP;Diversifié;30/06/2023;1 890;115 855 686
BNI GESTION;CNRA;FCPE;Diversifié;30/06/2023;3 264;123 411 010
BNI GESTION;INITIATIVE SOLIDARITE;FCP;Diversifié;30/06/2023;5 121;164 956 178
BNI GESTION;BNI RETRAITE;FCPE;Diversifié;30/06/2023;4 170;288 503 185
BNI GESTION;SODEFOR COMPLEMENTAIRE RETRAITE;FCPE;Diversifié;30/06/2023;7 065;578 163 408
BNI GESTION;CAPITAL CROISSANCE;FCP;Diversifié;30/06/2023;;
BNI GESTION;DYNAMIC SAVINGS;FCP;Actions ;30/06/2023;;
CGF GESTION;DIASPORA;FCP;Diversifié;30/06/2023;1 180;8 602 229 103
CGF GESTION;WALO;FCP;Actions ;30/06/2023;1 174;973 372 547
CGF GESTION;DJOLOF;FCP;Obligataire (OLMT);30/06/2023;1 176;794 785 579
CGF GESTION;SINI GNESIGUI;FCP;Diversifié;30/06/2023;1 531;451 282 565
CGF GESTION;ASSUR SENEGAL;FCP;Diversifié;30/06/2023;1 204 824;1 194 689 014
CGF GESTION;FORCE PAD;FCP;Diversifié;30/06/2023;1 835;1 411 809 251
CGF GESTION;DP WORLD DAKAR;FCP;Diversifié;30/06/2023;1 219;1 766 398 659
CGF GESTION;ACTIONS PHARMACIE;FCP;Diversifié;30/06/2023;1 008;1 657 654 244
CGF GESTION;RENTE PERPETUELLE;FCP;Diversifié;30/06/2023;1 098;5 345 604 435
CGF GESTION;POSTEFINANCES HORIZON;FCP;Diversifié;30/06/2023;1 879;2 728 705 647
CGF GESTION;AL BARAKA;FCP;Actions ;30/06/2023;1 067;2 106 525 360
CGF GESTION;PLACEMENT AVANTAGE;FCP;Monétaire (OCT);30/06/2023;1 540;2 515 417 232
CGF GESTION;EXPAT;FCP;Obligataire (OLMT);30/06/2023;1 133;2 778 148 338
CGF GESTION;BNDE VALEURS;FCP;Actions ;30/06/2023;1 148;3 363 120 292
CGF GESTION;PLACEMENT CROISSANCE;FCP;Actions ;30/06/2023;1 332;3 808 155 632
CGF GESTION;IFC-BOAD;FCP;Obligataire (OLMT);30/06/2023;128 234;6 255 672 890
CGF GESTION;CAPITAL RETRAITE;FCP;Diversifié;30/06/2023;1 130;6 644 542 457
CGF GESTION;AL BARAKA 2;FCP;Diversifié;30/06/2023;1 164;4 401 427 360
CGF GESTION;FCPCR SONATEL;FCPE;Diversifié;30/06/2023;7 289;17 691 349 366
CGF GESTION;LIQUIDITE-OPTIMUM;FCP;Obligataire (OLMT);30/06/2023;12 088;12 150 172 317
CGF GESTION;PLACEMENT QUIETUDE;FCP;Obligataire (OLMT);30/06/2023;1 564;21 873 334 932
EDC ASSET MANAGEMENT;ECOBANK ACTIONS UEMOA;FCP;Actions ;30/06/2023;3 755;515 492 018
EDC ASSET MANAGEMENT;ECOBANK OBLIGATAIRE UEMOA;SICAV;Obligataire (OLMT);30/06/2023;20 287;203 305 265 228
EDC ASSET MANAGEMENT;ECOBANK UEMOA DIVERSIFIE;FCP;Diversifié;30/06/2023;7 563;6 840 186 871
EDC ASSET MANAGEMENT;ECOBANK UEMOA RENDEMENT;FCP;Diversifié;30/06/2023;1 622 493;715 805 802
SAPHIR ASSET MANAGEMENT;SAPHIR QUIETUDE;FCP;Obligataire (OLMT);30/09/2023;6 336;24 996 095 271
SAPHIR ASSET MANAGEMENT;SAPHIR DYNAMIQUE;FCP;Diversifié;30/09/2023;5 952;448 142 819
SGCAMWA;SOGEPRIVILEGE;FCP;Diversifié;30/09/2023;4 080;3 653 503 856
SGCAMWA;SOGEAVENIR;FCP;Diversifié;30/09/2023;1 735;4 089 192 781
SGCAMWA;SOGEDEFI;FCP;Diversifié;30/09/2023;3 950;4 029 668 337
SGCAMWA;SOGEVALOR;FCP;Actions ;30/09/2023;3 560;4 631 583 213
SGCAMWA;SOGEDYNAMIQUE;FCP;Actions ;30/09/2023;3 998;5 338 087 433
SGCAMWA;SOGELIQUID;FCP;Monétaire (OCT);30/09/2023;10 551 589;32 142 308 720
SGCAMWA;SOGESECURITE;FCP;Obligataire (OLMT);30/09/2023;4 939;36 748 363 703
SGCAMWA;ALLIANZ AFRICA;FCPR;Actifs non cotés;30/09/2023;99 346 125;5 011 525 600
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;FCP;Obligataire (OLMT);30/09/2023;1 293;8 124 577 939
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;FCP;Diversifié;30/09/2023;1 300;385 486 422
AFRICABOURSE ASSET MANAGEMENT;OBLIGATIS;FCP;Obligataire (OLMT);30/09/2023;8 833;36 507 631 627
AFRICABOURSE ASSET MANAGEMENT;CAPITAL SUR;FCP;Monétaire (OCT);30/09/2023;8 221;290 058 133
AFRICABOURSE ASSET MANAGEMENT;EPARGNE CROISSANCE;FCP;Diversifié;30/09/2023;8 367;6 064 131 400
AFRICABOURSE ASSET MANAGEMENT;EPARGNE ACTION;FCP;Actions ;30/09/2023;6 065;1 313 564 112
SOAGA;SOAGA EPARGNE SERENITE;FCP;Obligataire (OLMT);30/09/2023;14 780;46 699 248 834
SOAGA;SOAGA EPARGNE OBLIGATIONS;FCP;Obligataire (OLMT);30/09/2023;5 719;39 709 751 074
SOAGA;SICAV ABDOU DIOUF;SICAV;Diversifié;30/09/2023;14 807 931;21 068 632 421
SOAGA;SOAGA EPARGNE ACTIVE;FCP;Diversifié;30/09/2023;11 298;12 036 305 488
SOAGA;SOAGA EPARGNE ACTIONS;FCP;Actions ;30/09/2023;8 924;5 147 032 589
SOAGA;BOAD CAPITAL RETRAITE;FCP;Obligataire (OLMT);30/09/2023;12 505;800 211 480
SOAGA;SOAGA EPARGNE DYNAMIQUE;FCP;Actions ;30/09/2023;5 461;495 718 503
SOAGA;SOAGA EPARGNE QUIETUDE;FCP;Obligataire (OLMT);30/09/2023;5 402;4 218 391 215
BRIDGE ASSET MANAGEMENT;BRIDGE OBLIGATIONS;FCP;Obligataire (OLMT);30/09/2023;6 074;37 541 500 260
BRIDGE ASSET MANAGEMENT;BRIDGE EQUILIBRE;FCP;Diversifié;30/09/2023;30 629 057;3 771 858 060
BRIDGE ASSET MANAGEMENT;BRIDGE DIVERSIFIE CROISSANCE;FCP;Diversifié;30/09/2023;6 023;960 940 317
AFRICA ASSET MANAGEMENT;VALORIS;FCP;Actions ;30/09/2023;9 246;1 951 985 121
AFRICA ASSET MANAGEMENT;EXPANSIO;FCP;Diversifié;30/09/2023;9 869;917 686 299
AFRICA ASSET MANAGEMENT;MAADO;FCPE;Diversifié;30/09/2023;5 258;52 879 769
AFRICA ASSET MANAGEMENT;CMT SONABEL;FCPE;Diversifié;30/09/2023;5 126;51 263 686
AFRICA ASSET MANAGEMENT;SECURITAS;FCP;Obligataire (OLMT);30/09/2023;7 322;1 240 597 084
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM DYNAMIQUE;FCP;Diversifié;30/09/2023;14 446;439 117 089
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);BRM OBLIGATAIRE;FCP;Diversifié;30/09/2023;16 489;527 369 870
IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT);SDE;FCPE;Diversifié;30/09/2023;2 809;824 032 927
CORIS ASSET MANAGEMENT;CORIS ACTIONS;FCP;Actions ;30/09/2023;6 832;857 501 583
CORIS ASSET MANAGEMENT;ASSURANCES;FCP;Diversifié;30/09/2023;5 564;650 698 436
CORIS ASSET MANAGEMENT;CORIS PERFORMANCE;FCP;Monétaire (OCT);30/09/2023;7 200;992 138 542
ATTIJARI ASSET MANAGEMENT;ATTIJARI OBLIG;SICAV;Obligataire (OLMT);30/09/2023;13 612;21 084 819 332
ATTIJARI ASSET MANAGEMENT;ATTIJARI LIQUIDITE;FCP;Monétaire (OCT);30/09/2023;13 829;1 588 821 299
ATTIJARI ASSET MANAGEMENT;ATTIJARI HORIZON;FCP;Obligataire (OLMT);30/09/2023;15 211;22 075 005 184
ATTIJARI ASSET MANAGEMENT;ATTIJARI ACTIONS;FCP;Actions ;30/09/2023;14 575;226 467 861
ATTIJARI ASSET MANAGEMENT;ATTIJARI DIVERSIFIE;FCP;Diversifié;30/09/2023;16 153;242 814 690
ATTIJARI ASSET MANAGEMENT;ATTIJARI INVEST;FCP;Obligataire (OLMT);30/09/2023;14 390;23 853 251 566
ATTIJARI ASSET MANAGEMENT;ATTIJARI PATRIMOINE;FCP;Obligataire (OLMT);30/09/2023;14 549;57 214 087 603
ATTIJARI ASSET MANAGEMENT;CRBC PROSPERITE;FCP;Obligataire (OLMT);30/09/2023;10 934;26 999 851 788
ATTIJARI ASSET MANAGEMENT;WAFA ASSURANCE UEMOA;FCP;Obligataire (OLMT);30/09/2023;10 144;101 440 634
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE CROISSANCE;FCP;Diversifié;30/09/2023;5 130;15 342 435 111
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE;FCP;Obligataire (OLMT);30/09/2023;6 705;56 433 331 962
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SERENITE;FCP;Obligataire (OLMT);30/09/2023;6 329;37 664 117 434
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE LIQUIDITE;FCP;Monétaire (OCT);30/09/2023;6 085;2 740 029 357
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE HORIZON;FCP;Diversifié;30/09/2023;7 597;180 433 418
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE ACTION;FCP;Actions ;30/09/2023;7 854;159 096 676
ATLANTIC ASSET MANAGEMENT;IFC ATLANTIQUE;FCP;Obligataire (OLMT);30/09/2023;1 206 973;7 416 399 478
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE PRESTIGE;FCP;Obligataire (OLMT);30/09/2023;1 071 283;46 661 313 197
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE SECURITE PLUS;FCP;Obligataire (OLMT);30/09/2023;10 677;38 301 306 567
ATLANTIC ASSET MANAGEMENT;ATLANTIQUE OBLIGATIONS;FCP;Obligataire (OLMT);30/09/2023;10 764;211 174 326
SGO MALI FINANCES;NYESIGUI;FCP;Diversifié;30/09/2023;12 289;688 806 162
SGO MALI FINANCES;ORANGE ML;FCPE;Diversifié;30/09/2023;30 531;3 692 680 445
SGO MALI FINANCES;TOUNKARANKE;FCP;Obligataire (OLMT);30/09/2023;115 168;844 676 850
NSIA ASSET MANAGEMENT;NSIA FONDS DIVERSIFIE;FCP;Diversifié;30/09/2023;5 773;15 015 204 895
NSIA ASSET MANAGEMENT;AURORE OPPORTUNITES;FCP;Actions ;30/09/2023;6 097;2 236 452 525
NSIA ASSET MANAGEMENT;EVOLUTIS;FCPE;Diversifié;30/09/2023;4 511;1 010 963 223
NSIA ASSET MANAGEMENT;AURORE SECURITE;FCP;Obligataire (OLMT);30/09/2023;5 553;22 700 144 790
NSIA ASSET MANAGEMENT;NSIA ASSURANCES OPTIMUM;FCP;Diversifié;30/09/2023;1 012 136;2 683 155 999
PHOENIXAFRICA ASSET MANAGEMENT;PAM ACTIONS;FCP;Actions ;30/09/2023;13 473;559 168 979
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE EQUILIBRE;FCP;Diversifié;30/09/2023;13 975;924 015 176
PHOENIXAFRICA ASSET MANAGEMENT;PAM DIVERSIFIE OBLIGATIONS;FCP;Diversifié;30/09/2023;13 024;1 988 960 357
SGA2E;SODECI;FCPE;Diversifié;30/09/2023;9 520;19 279 057 635
SGA2E;CIE;FCPE;Diversifié;30/09/2023;7 839;39 058 492 362
OPTI ASSET MANAGEMENT;OPTI PLACEMENT 1;FCP;Actions ;30/09/2023;16 222;697 426 728
OPTI ASSET MANAGEMENT;OPTI REVENU 2;FCP;Obligataire (OLMT);30/09/2023;8 515;9 639 942 115
OPTI ASSET MANAGEMENT;OPTI CAPITAL 3;FCP;Diversifié;30/09/2023;19 238;1 126 534 264
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL GARANTI;FCP;Diversifié;30/09/2023;15 119;1 085 653 616
ENKO CAPITAL WEST AFRICA;PATRIMOINE;FCP;Obligataire (OLMT);30/09/2023;11 785;26 135 567 897
ENKO CAPITAL WEST AFRICA;ENKO CAPITAL OBLIGATIONS;FCP;Obligataire (OLMT);30/09/2023;10 874;2 793 889 528
BOA CAPITAL CAM;BOA PREMIUM;FCP;Diversifié;30/09/2023;81 362;174 662 673
BOA CAPITAL CAM;BOA ACTIONS;FCP;Actions ;30/09/2023;12 974;369 679 576
BOA CAPITAL CAM;SAHAM PERFORMANCE;FCP;Actions ;30/09/2023;149 789;372 375 518
BOA CAPITAL CAM;BOA INVESTMENT;FCP;Obligataire (OLMT);30/09/2023;38 540 890;19 485 325 799
BOA CAPITAL CAM;GLOBAL INVESTORS;FCP;Diversifié;30/09/2023;31 022;10 455 236 563
BOA CAPITAL CAM;EMERGENCE;FCP;Diversifié;30/09/2023;7 381;27 300 288 475
BOA CAPITAL CAM;BOA SECURITE;FCP;Obligataire (OLMT);30/09/2023;110 705;36 860 070 095
BOA CAPITAL CAM;BOA OBLIGATIONS;FCP;Obligataire (OLMT);30/09/2023;12 418;49 402 819 921
BOA CAPITAL CAM;BOA RENDEMENT;FCP;Obligataire (OLMT);30/09/2023;35 056 188;48 865 569 548
BNI GESTION;OBLIG SECURITE;FCP;Obligataire (OLMT);30/09/2023;9 999;119 038 258
BNI GESTION;KARIMA ETHIQUE;FCP;Diversifié;30/09/2023;1 968;120 621 846
BNI GESTION;CNRA;FCP;Diversifié;30/09/2023;3 283;124 126 717
BNI GESTION;INITIATIVE SOLIDARITE;FCP;Diversifié;30/09/2023;5 165;166 347 599
BNI GESTION;BNI RETRAITE;FCPE;Diversifié;30/09/2023;4 220;327 353 677
BNI GESTION;SODEFOR COMPLEMENTAIRE RETRAITE;FCPE;Diversifié;30/09/2023;6 584;538 733 514
BNI GESTION;CAPITAL CROISSANCE;FCP;Diversifié;30/09/2023;;
BNI GESTION;DYNAMIC SAVINGS;FCP;Actions ;30/09/2023;;
CGF GESTION;DIASPORA;FCP;Diversifié;30/09/2023;1 186;9 932 813 777
CGF GESTION;WALO;FCP;Actions ;30/09/2023;1 180;1 279 728 328
CGF GESTION;DJOLOF;FCP;Obligataire (OLMT);30/09/2023;1 189;803 794 209
CGF GESTION;SINI GNESIGUI;FCP;Diversifié;30/09/2023;1 556;467 529 471
CGF GESTION;ASSUR SENEGAL;FCP;Diversifié;30/09/2023;1 217 993;1 479 584 503
CGF GESTION;FORCE PAD;FCP;Diversifié;30/09/2023;1 879;1 501 080 080
CGF GESTION;DP WORLD DAKAR;FCP;Diversifié;30/09/2023;1 224;1 798 922 854
CGF GESTION;ACTIONS PHARMACIE;FCP;Diversifié;30/09/2023;1 015;1 667 186 689
CGF GESTION;RENTE PERPETUELLE;FCP;Diversifié;30/09/2023;1 102;5 477 539 311
CGF GESTION;POSTEFINANCES HORIZON;FCP;Diversifié;30/09/2023;1 911;2 101 921 992
CGF GESTION;AL BARAKA;FCP;Actions ;30/09/2023;1 017;1 698 079 716
CGF GESTION;PLACEMENT AVANTAGE;FCP;Monétaire (OCT);30/09/2023;1 544;1 980 329 939
CGF GESTION;EXPAT;FCP;Obligataire (OLMT);30/09/2023;1 127;2 873 679 401
CGF GESTION;BNDE VALEURS;FCP;Actions ;30/09/2023;1 155;4 580 816 586
CGF GESTION;PLACEMENT CROISSANCE;FCP;Actions ;30/09/2023;1 354;3 154 675 989
CGF GESTION;IFC-BOAD;FCP;Obligataire (OLMT);30/09/2023;129 336;6 309 401 659
CGF GESTION;CAPITAL RETRAITE;FCP;Diversifié;30/09/2023;1 134;7 460 224 003
CGF GESTION;AL BARAKA 2;FCP;Diversifié;30/09/2023;1 161;3 517 971 048
CGF GESTION;FCPCR SONATEL;FCPE;Diversifié;30/09/2023;7 507;18 291 430 113
CGF GESTION;LIQUIDITE-OPTIMUM;FCP;Obligataire (OLMT);30/09/2023;12 134;11 965 619 133
CGF GESTION;PLACEMENT QUIETUDE;FCP;Obligataire (OLMT);30/09/2023;1 572;20 781 576 767
EDC ASSET MANAGEMENT;ECOBANK ACTIONS UEMOA;FCP;Actions ;30/09/2023;3 995;542 454 702
EDC ASSET MANAGEMENT;ECOBANK OBLIGATAIRE UEMOA;SICAV;Obligataire (OLMT);30/09/2023;20 422;205 737 115 068
EDC ASSET MANAGEMENT;ECOBANK UEMOA DIVERSIFIE;FCP;Diversifié;30/09/2023;7 904;7 094 329 546
EDC ASSET MANAGEMENT;ECOBANK UEMOA RENDEMENT;FCP;Diversifié;30/09/2023;1 646 703;701 658 120
EDC ASSET MANAGEMENT;ECOBANK PRIVE ACTIONS;FCP;Actions ;30/09/2023;;4 120 656 911
EDC ASSET MANAGEMENT;ECOBANK PRIVE OLMT;FCP;Obligataire (OLMT);30/09/2023;;18 731 164 873
SAPHIR ASSET MANAGEMENT;SAPHIR QUIETUDE;FCP;Obligataire (OLMT);31/12/2023;6 458;25 303 637 912
SAPHIR ASSET MANAGEMENT;SAPHIR DYNAMIQUE;FCP;Diversifié;31/12/2023;6 054;458 969 919
SGCAMWA;SOGEPRIVILEGE;FCP;Diversifié;31/12/2023;4 125;3 706 099 608
SGCAMWA;SOGEAVENIR;FCP;Diversifié;31/12/2023;1 678;3 941 941 688
SGCAMWA;SOGEDEFI;FCP;Diversifié;31/12/2023;3 899;3 959 803 322
SGCAMWA;SOGEVALOR;FCP;Actions ;31/12/2023;3 572;4 734 830 449
SGCAMWA;SOGEDYNAMIQUE;FCP;Actions ;31/12/2023;3 903;5 146 317 507
SGCAMWA;SOGELIQUID;FCP;Monétaire (OCT);31/12/2023;10 737 746;36 889 518 251
SGCAMWA;SOGESECURITE;FCP;Obligataire (OLMT);31/12/2023;5 068;45 348 799 460
SGCAMWA;ALLIANZ AFRICA;FCPR;Actifs non cotés;31/12/2023;99 494 621;5 715 453 733
AFRICAINE DE GESTION D'ACTIFS;AGA CONFORT PLUS;FCP;Obligataire (OLMT);31/12/2023;1 325;9 985 049 226
AFRICAINE DE GESTION D'ACTIFS;AGA CAPITAL PLUS;FCP;Diversifié;31/12/2023;1 311;446 511 657
