N°,Gestionnaire,Nom de l'OPC,Type d'OPC,Catégorie,Date,Valeur Liquidative,Actif net
16,CGF GESTION,FCP IFC-BOAD,FCP,Obligataire (OLMT),2023-09-30,129335.619043693,6309401659
17,CGF GESTION,FCP CAPITAL RETRAITE,FCP,Diversifié,2023-09-30,1133.53251017392,7460224003
18,CGF GESTION,FCP AL BARAKA 2,FCP,Diversifié,2023-09-30,1160.64791244778,3517971048
19,CGF GESTION,FCPCR SONATEL,FCPE,Diversifié,2023-09-30,7506.66997127808,18291430113
20,CGF GESTION,FCP LIQUIDITE-OPTIMUM,FCP,Obligataire (OLMT),2023-09-30,12133.7781958812,11965619133
21,CGF GESTION,FCP PLACEMENT QUIETUDE,FCP,Obligataire (OLMT),2023-09-30,1571.63715325612,20781576767
1,EDC ASSET MANAGEMENT,ECOBANK ACTIONS UEMOA,FCP,Actions ,2023-09-30,3995,542454702
2,EDC ASSET MANAGEMENT,ECOBANK OBLIGATAIRE UEMOA,SICAV,Obligataire (OLMT),2023-09-30,20422,205737115068
3,EDC ASSET MANAGEMENT,ECOBANK UEMOA DIVERSIFIE,FCP,Diversifié,2023-09-30,7904,7094329546
4,EDC ASSET MANAGEMENT,ECOBANK UEMOA RENDEMENT,FCP,Diversifié,2023-09-30,1646703,701658120
5,EDC ASSET MANAGEMENT,ECOBANK PRIVE ACTIONS,FCP,Actions ,2023-09-30,,4120656911
6,EDC ASSET MANAGEMENT,ECOBANK PRIVE  OLMT,FCP,Obligataire (OLMT),2023-09-30,,18731164872.7
1,SAPHIR ASSET MANAGEMENT,SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2023-12-31,6457.55,25303637912
2,SAPHIR ASSET MANAGEMENT,SAPHIR DYNAMIQUE,FCP,Diversifié,2023-12-31,6054.16,458969919
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2023-12-31,4125,3706099608
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2023-12-31,1678,3941941688
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2023-12-31,3899,3959803322
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2023-12-31,3572,4734830449
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2023-12-31,3903,5146317507
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2023-12-31,10737746,36889518251
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2023-12-31,5068,45348799460
8,SGCAMWA,ALLIANZ AFRICA,FCPR,Actifs non cotés,2023-12-31,99494621,5715453733
1,AFRICAINE DE GESTION D'ACTIFS,AGA CONFORT PLUS,FCP,Obligataire (OLMT),2023-12-31,1325.19,9985049226
2,AFRICAINE DE GESTION D'ACTIFS,AGA CAPITAL PLUS,FCP,Diversifié,2023-12-31,1310.98,446511657
1,AFRICABOURSE ASSET MANAGEMENT,OBLIGATIS,FCP,Obligataire (OLMT),2023-12-31,8393.46,35598757881.99
2,AFRICABOURSE ASSET MANAGEMENT,CAPITAL SUR,FCP,Monétaire (OCT),2023-12-31,0,0
3,AFRICABOURSE ASSET MANAGEMENT,EPARGNE CROISSANCE,FCP,Diversifié,2023-12-31,8151.56,5458060504
4,AFRICABOURSE ASSET MANAGEMENT,EPARGNE ACTION,FCP,Actions ,2023-12-31,5555.24,1207153437
1,SOAGA,SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2023-12-31,15019.07,46003852572
2,SOAGA,SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2023-12-31,5801.91,34846878306
3,SOAGA,SICAV-ABDOU DIOUF,SICAV,Diversifié,2023-12-31,14667161.63,20868346634
4,SOAGA,SOAGA EPARGNE ACTIVE,FCP,Diversifié,2023-12-31,10827.52,9613991730
5,SOAGA,SOAGA EPARGNE ACTIONS,FCP,Actions ,2023-12-31,8922.53,4439045967
6,SOAGA,BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2023-12-31,12870.05,848066252
7,SOAGA,SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2023-12-31,5584.94,1266178317
8,SOAGA,SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2023-12-31,5577.34,6416833669
1,BRIDGE ASSET MANAGEMENT,BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2023-12-31,6212.391,37512230816.658
2,BRIDGE ASSET MANAGEMENT,BRIDGE EQUILIBRE,FCP,Diversifié,2023-12-31,30824985.572,4096094980.265
3,BRIDGE ASSET MANAGEMENT,BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2023-12-31,5992.925,982593068.856
1,AFRICA ASSET MANAGEMENT,VALORIS,FCP,Actions ,2023-12-31,9255.5936,2095310244
2,AFRICA ASSET MANAGEMENT,EXPANSIO,FCP,Diversifié,2023-12-31,9976.5902,1497798803
3,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2023-12-31,5098.216,51274171
4,AFRICA ASSET MANAGEMENT,CMT SONABEL,FCPE,Diversifié,2023-12-31,5121.9578,51219578
5,AFRICA ASSET MANAGEMENT,SECURITAS,FCP,Obligataire (OLMT),2023-12-31,7390.9301,1557556653
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM DYNAMIQUE,FCP,Diversifié,2023-12-31,14495.8,440628928
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),BRM OBLIGATAIRE,FCP,Diversifié,2023-12-31,16550.62,529355175
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),SDE,FCPE,Diversifié,2023-12-31,2804.57,802556081
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS ,FCP,Actions ,2023-12-31,7027.2644,881549243
2,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Diversifié,2023-12-31,5640.481,666372062
3,CORIS ASSET MANAGEMENT,CORIS PERFOMANCE,FCP,Monétaire (OCT),2023-12-31,7396.6162,1019875030
1,ATTIJARI ASSET MANAGEMENT,ATTIJARI OBLIG,SICAV,Obligataire (OLMT),2023-12-31,13641.06,21134349500.42
2,ATTIJARI ASSET MANAGEMENT,ATTIJARI LIQUIDITE,FCP,Monétaire (OCT),2023-12-31,13961.68,1604448447.68
3,ATTIJARI ASSET MANAGEMENT,ATTIJARI HORIZON,FCP,Obligataire (OLMT),2023-12-31,15360.84,28849550126.97
4,ATTIJARI ASSET MANAGEMENT,ATTIJARI ACTIONS,FCP,Actions ,2023-12-31,14945.7,232202076.83
5,ATTIJARI ASSET MANAGEMENT,ATTIJARI DIVERSIFIE,FCP,Diversifié,2023-12-31,16413.58,246733656.04
6,ATTIJARI ASSET MANAGEMENT,ATTIJARI INVEST,FCP,Obligataire (OLMT),2023-12-31,14478.84,18153357531.79
7,ATTIJARI ASSET MANAGEMENT,ATTIJARI PATRIMOINE,FCP,Obligataire (OLMT),2023-12-31,14673.66,51043557868.3
8,ATTIJARI ASSET MANAGEMENT,CRBC PROSPERITE,FCP,Obligataire (OLMT),2023-12-31,11058.61,27314000542.77
9,ATTIJARI ASSET MANAGEMENT,WAFA ASSURANCE UEMOA,FCP,Obligataire (OLMT),2023-12-31,10235.38,35874163689.7
1,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE CROISSANCE,FCP,Diversifié,2023-12-31,5226.8687,15623262184
2,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE,FCP,Obligataire (OLMT),2023-12-31,6854.4913,50891258045
3,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SERENITE,FCP,Obligataire (OLMT),2023-12-31,6450.6177,38117097382
4,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE LIQUIDITE ,FCP,Monétaire (OCT),2023-12-31,6173.7794,1608728650
5,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE HORIZON ,FCP,Diversifié,2023-12-31,7654.0625,184827234
6,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE ACTION,FCP,Actions ,2023-12-31,8023.2252,163044389
7,ATLANTIC ASSET MANAGEMENT,FCP IFC ATLANTIQUE,FCP,Obligataire (OLMT),2023-12-31,1249572.1889,7757185386
8,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2023-12-31,1082798.1233,47162864270
9,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2023-12-31,10810.0847,43846807936
10,ATLANTIC ASSET MANAGEMENT,FCP ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2023-12-31,10844.678,212766113
1,SGO MALI FINANCES,NYESIGUI,FCP,Diversifié,2023-12-31,12505.12,721347498
2,SGO MALI FINANCES,ORANGE MALI,FCPE,Diversifié,2023-12-31,30682.28,3759976135
3,SGO MALI FINANCES,TOUNKARANKE,FCP,Obligataire (OLMT),2023-12-31,116962.93,878160489
1,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2023-12-31,5782.6926906602,16908912041
2,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2023-12-31,5995.6993313989,3162838347
3,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2023-12-31,4487.3721692577,1015236561
4,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2023-12-31,5703.9700895634,29655507926
5,NSIA ASSET MANAGEMENT,NSIA ASSURANCE OPTIMUM,FCP,Diversifié,2023-12-31,1016619.76433445,2513833254
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2023-12-31,13523.6121,561274005
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2023-12-31,14246.4866,962620206
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2023-12-31,13136.2386,2006083793
1,SGA2E,SODECI,FCPE,Diversifié,2023-12-31,9495.7337,19434624201
2,SGA2E,CIE,FCPE,Diversifié,2023-12-31,7732.07,38606785380
1,OPTI ASSET MANAGEMENT,FCP1 OPTI PLACEMENT,FCP,Actions ,2023-12-31,15537.181,628456429
2,OPTI ASSET MANAGEMENT,FCP2 OPTI REVENU,FCP,Obligataire (OLMT),2023-12-31,8635.09,9810721144
3,OPTI ASSET MANAGEMENT,FCP3 OPTI CAPITAL,FCP,Diversifié,2023-12-31,19646.28,1175213699
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2023-12-31,15962.7391,1706097552
2,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2023-12-31,11952.8445,26507524434
3,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2023-12-31,11153.1624,3661282094
1,BOA CAPITAL CAM,BOA PREMIUM,FCP,Diversifié,2023-12-31,83081,178954501
2,BOA CAPITAL CAM,BOA ACTIONS,FCP,Actions ,2023-12-31,13146,344019639
3,BOA CAPITAL CAM,SAHAM PERFORMANCE,FCP,Actions ,2023-12-31,151842,360776387
4,BOA CAPITAL CAM, BOA INVESTMENT,FCP,Obligataire (OLMT),2023-12-31,39117670,23317059894
5,BOA CAPITAL CAM, GLOBAL INVESTORS,FCP,Diversifié,2023-12-31,31470,10347290227
6,BOA CAPITAL CAM, EMERGENCE,FCP,Diversifié,2023-12-31,7450,26869888728
7,BOA CAPITAL CAM, BOA SECURITE,FCP,Obligataire (OLMT),2023-12-31,111980,38650673390
8,BOA CAPITAL CAM, BOA OBLIGATIONS,FCP,Obligataire (OLMT),2023-12-31,12574,48606988482
9,BOA CAPITAL CAM,BOA RENDEMENT,FCP,Obligataire (OLMT),2023-12-31,35473909,48785134621
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2023-12-31,10127.59,128539396
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2023-12-31,1918.81,117617392
3,BNI GESTION,CNRA,FCPE,Diversifié,2023-12-31,3273.01,123752536.6707
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2023-12-31,4908.46,158096697
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2023-12-31,4232.15,331326457
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2023-12-31,6229.7,410674113
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2023-12-31,14139,16763752117
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2023-12-31,9398,3 278 308  187
1,CGF GESTION,FCP DIASPORA,FCP,Diversifié,2023-12-31,1187.7013,8389246684
2,CGF GESTION,FCP WALO,FCP,Actions ,2023-12-31,1175.2634,1076557590
3,CGF GESTION,FCP DJOLOF,FCP,Obligataire (OLMT),2023-12-31,1213.4985,831345755
4,CGF GESTION,FCPE SINI GNESIGUI,FCP,Diversifié,2023-12-31,1588.9946,483035327
5,CGF GESTION,FCP ASSUR SENEGAL,FCP,Diversifié,2023-12-31,1220112.9051,1482160092
6,CGF GESTION,FCPE FORCE PAD,FCP,Diversifié,2023-12-31,1898.3967,1515593909
7,CGF GESTION,FCPE DP WORLD DAKAR,FCP,Diversifié,2023-12-31,1280.9454,1794159521
8,CGF GESTION,FCP ACTIONS PHARMACIE,FCP,Diversifié,2023-12-31,1045.3844,2928866630
9,CGF GESTION,FCP RENTE PERPETUELLE,FCP,Diversifié,2023-12-31,1101.644,5641017517
10,CGF GESTION,FCP POSTEFINANCES HORIZON,FCP,Diversifié,2023-12-31,1896.5012,1698742376
11,CGF GESTION,FCP AL BARAKA,FCP,Actions ,2023-12-31,1017.2602,1671423909
12,CGF GESTION,FCP PLACEMENT AVANTAGE,FCP,Monétaire (OCT),2023-12-31,1558.7666,2335825128
13,CGF GESTION,FCP EXPAT,FCP,Obligataire (OLMT),2023-12-31,1124.89,2527225145
14,CGF GESTION,FCP BNDE VALEURS,FCP,Actions ,2023-12-31,1176.1425,4221663888
15,CGF GESTION,FCP PLACEMENT CROISSANCE,FCP,Actions ,2023-12-31,1267.8581,2927958747
16,CGF GESTION,FCP IFC-BOAD,FCP,Obligataire (OLMT),2023-12-31,134222.3248,6547790663
17,CGF GESTION,FCP CAPITAL RETRAITE,FCP,Diversifié,2023-12-31,1137.7295,8611587290
18,CGF GESTION,FCP AL BARAKA 2,FCP,Diversifié,2023-12-31,1171.7235,3255532427
19,CGF GESTION,FCPCR SONATEL,FCPE,Diversifié,2023-12-31,7865.4243,19084305674
20,CGF GESTION,FCP LIQUIDITE-OPTIMUM,FCP,Obligataire (OLMT),2023-12-31,12175.4184,10245478111
21,CGF GESTION,FCP PLACEMENT QUIETUDE,FCP,Obligataire (OLMT),2023-12-31,1580.6755,19730902603
22,CGF GESTION,FCPR SEN FONDS,FCPR,Actifs non cotés,2023-12-31,10162.2261,100066923
1,EDC ASSET MANAGEMENT,ECOBANK ACTIONS UEMOA,FCP,Actions ,2023-12-31,4046,550704689
2,EDC ASSET MANAGEMENT,ECOBANK OBLIGATAIRE UEMOA,SICAV,Obligataire (OLMT),2023-12-31,20608,205722739015
3,EDC ASSET MANAGEMENT,ECOBANK UEMOA DIVERSIFIE,FCP,Diversifié,2023-12-31,7968,6916661196
4,EDC ASSET MANAGEMENT,ECOBANK UEMOA RENDEMENT,FCP,Diversifié,2023-12-31,1662144,653260812
5,EDC ASSET MANAGEMENT,ECOBANK PRIVE ACTIONS,FCP,Actions ,2023-12-31,N/D,5951495885
6,EDC ASSET MANAGEMENT,ECOBANK PRIVE  OLMT,FCP,Obligataire (OLMT),2023-12-31,N/D,26851650401
1,BAOBAB ASSET MANAGEMENT,BAM TRESOR,FCP,Monétaire (OCT),2023-12-31,10032.08,193023568
1,KAYDAN ASSET MANAGEMENT,KAM CROISSANCE +,FCPR,Actifs non cotés,2023-12-31,1000000,0
2,KAYDAN ASSET MANAGEMENT,KAM SÛR,FCP,Obligataire (OLMT),2023-12-31,10000,0
1,SAPHIR ASSET MANAGEMENT,FCP SAPHIR QUIETUDE,FCP,Obligataire (OLMT),2024-03-31,6247.63,24765519569
2,SAPHIR ASSET MANAGEMENT,FCP SAPHIR DYNAMIQUE,FCP,Diversifié,2024-03-31,6036.24,540293448
1,SGCAMWA,SOGEPRIVILEGE,FCP,Diversifié,2024-03-31,4139,3697776182
2,SGCAMWA,SOGEAVENIR,FCP,Diversifié,2024-03-31,1696,3985670382
3,SGCAMWA,SOGEDEFI,FCP,Diversifié,2024-03-31,3951,3956949787
4,SGCAMWA,SOGEVALOR,FCP,Actions ,2024-03-31,3598,4743921966
5,SGCAMWA,SOGEDYNAMIQUE,FCP,Actions ,2024-03-31,3972,5184795553
6,SGCAMWA,SOGELIQUID,FCP,Monétaire (OCT),2024-03-31,10890428,37414057044
7,SGCAMWA,SOGESECURITE,FCP,Obligataire (OLMT),2024-03-31,5139,46337743588
8,SGCAMWA,ALLIANZ AFRICA,FCPR,Actifs non cotés,2024-03-31,99832470,9697990085
1,AFRICAINE DE GESTION D'ACTIFS,AGA CAPITAL PLUS,FCP,Diversifié,2024-03-31,1336.17,455579572
2,AFRICAINE DE GESTION D'ACTIFS,AGA CONFORT PLUS,FCP,Obligataire (OLMT),2024-03-31,1337.27,11711489917
1,AFRICABOURSE ASSET MANAGEMENT,AAM OBLIGATIS,FCP,Obligataire (OLMT),2024-03-31,8500.49,35910058068
2,AFRICABOURSE ASSET MANAGEMENT,AAM SERENITIS,FCP,Obligataire (OLMT),2024-03-31,10402.09,224610025
3,AFRICABOURSE ASSET MANAGEMENT,AAM EPARGNE CROISSANCE,FCP,Diversifié,2024-03-31,8309.49,5618344379
4,AFRICABOURSE ASSET MANAGEMENT,AAM EPARGE ACTION,FCP,Actions ,2024-03-31,5727.3,1245935328
1,SOAGA,FCP SOAGA EPARGNE SERENITE,FCP,Obligataire (OLMT),2024-03-31,15090.0975,38860944017.0978
2,SOAGA,FCP SOAGA EPARGNE OBLIGATIONS,FCP,Obligataire (OLMT),2024-03-31,5855.0375,31763272456.685
3,SOAGA,FCP BOAD CAPITAL RETRAITE,FCP,Obligataire (OLMT),2024-03-31,13092.7797,926651049.3788
4,SOAGA,FCP SOAGA EPARGNE QUIETUDE,FCP,Obligataire (OLMT),2024-03-31,5683.3127,16523925707.0209
5,SOAGA,SICAV ABDOU DIOUF,SICAV,Diversifié,2024-03-31,14717690.0155,20587696444.9438
6,SOAGA,FCP SOAGA EPARGNE ACTIVE,FCP,Diversifié,2024-03-31,11029.6669,8052279592.8716
7,SOAGA,FCP SOAGA EPARGNE DYNAMIQUE,FCP,Actions ,2024-03-31,5633.0363,1491333811.3562
8,SOAGA,FCP SOAGA EPARGNE ACTIONS,FCP,Actions ,2024-03-31,8931.9388,3507549294.2598
1,BRIDGE ASSET MANAGEMENT,FCP BRIDGE OBLIGATIONS,FCP,Obligataire (OLMT),2024-03-31,6260.875,40499425079.316
2,BRIDGE ASSET MANAGEMENT,FCP BRIDGE EQUILIBRE,FCP,Diversifié,2024-03-31,31070191.577,4280624183.107
3,BRIDGE ASSET MANAGEMENT,FCP BRIDGE DIVERSIFIE CROISSANCE,FCP,Diversifié,2024-03-31,6075.221,1019364029.614
1,AFRICA ASSET MANAGEMENT,VALORIS,FCP,Actions ,2024-03-31,9606.8374,2166748905
2,AFRICA ASSET MANAGEMENT,EXPANSIO,FCP,Diversifié,2024-03-31,10309.7241,1554616461
3,AFRICA ASSET MANAGEMENT,SECURITAS,FCP,Obligataire (OLMT),2024-03-31,7591.2232,1603833798
4,AFRICA ASSET MANAGEMENT,CMT SONABEL,FCPE,Diversifié,2024-03-31,5190.083,51900830
5,AFRICA ASSET MANAGEMENT,MAADO,FCPE,Diversifié,2024-03-31,0,0
1,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),FCP BRM DYNAMIQUE,FCP,Diversifié,2024-03-31,14196.19,440628928
2,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),FCP BRM OBLIGATAIRE,FCP,Diversifié,2024-03-31,16374.67,529355175
3,IMPAXIS ASSET MANAGEMENT (ex-BRM ASSET MANAGEMENT),FCPE SDE,FCPE,Diversifié,2024-03-31,2797.16,802556081
1,CORIS ASSET MANAGEMENT,CORIS ACTIONS,FCP,Actions ,2024-03-31,7139.0692,875121385
2,CORIS ASSET MANAGEMENT,CORIS PERFORMANCE,FCP,Diversifié,2024-03-31,7501.5406,1014170779
3,CORIS ASSET MANAGEMENT,ASSURANCES,FCP,Monétaire (OCT),2024-03-31,5711.5726,677101225
1,ATTIJARI ASSET MANAGEMENT,SICAV ATTIJARI OBLIG,SICAV,Obligataire (OLMT),2024-03-31,13741.32,21289610365.7
2,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI LIQUIDITE,FCP,Monétaire (OCT),2024-03-31,14097.48,1602636181.68
3,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI HORIZON,FCP,Obligataire (OLMT),2024-03-31,15558.65,35128114491.97
4,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI ACTIONS,FCP,Actions ,2024-03-31,15406.45,239360541.87
5,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI DIVERSIFIE,FCP,Diversifié,2024-03-31,16843.33,253192549.19
6,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI INVEST,FCP,Obligataire (OLMT),2024-03-31,14595.82,16166724316.89
7,ATTIJARI ASSET MANAGEMENT,FCP ATTIJARI PATRIMOINE,FCP,Obligataire (OLMT),2024-03-31,14814.24,45968958042.52
8,ATTIJARI ASSET MANAGEMENT,FCP CRBC-PROSPERITE,FCP,Obligataire (OLMT),2024-03-31,11182.75,27620608871.32
9,ATTIJARI ASSET MANAGEMENT,FCP WAFA ASSURANCE UEMOA,FCP,Obligataire (OLMT),2024-03-31,10500.23,41518037409.22
10,ATTIJARI ASSET MANAGEMENT,FCP CRAT PERFORMANCE,FCP,Diversifié,2024-03-31,10007.47,100085420.13
1,ATLANTIC ASSET MANAGEMENT,IFC ATLANTIQUE,FCP,Obligataire (OLMT),2024-03-31,1254254.9063,7786255100
2,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE LIQUIDITE,FCP,Monétaire (OCT),2024-03-31,6244.6802,1312672565
3,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE HORIZON,FCP,Diversifié,2024-03-31,7854.5804,188926812
4,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE ACTION,FCP,Actions ,2024-03-31,8190.7817,166499610
5,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE SECURITE,FCP,Obligataire (OLMT),2024-03-31,6893.3749,53372365923
6,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE SERENITE,FCP,Obligataire (OLMT),2024-03-31,6521.761,35074918309
7,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE CROISSANCE,FCP,Diversifié,2024-03-31,5293.6189,15816137152
8,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE SECURITE PLUS,FCP,Obligataire (OLMT),2024-03-31,10938.3929,40431760798
9,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE PRESTIGE,FCP,Obligataire (OLMT),2024-03-31,1095939.1156,46929259376
10,ATLANTIC ASSET MANAGEMENT,ATLANTIQUE OBLIGATIONS,FCP,Obligataire (OLMT),2024-03-31,10929.6026,214432283
1,SGO MALI FINANCES,FCP NYESIGUI,FCP,Diversifié,2024-03-31,12685.7607,585582952
2,SGO MALI FINANCES,FCPE ORANGE ML,FCPE,Diversifié,2024-03-31,31030.6888,3709741849
3,SGO MALI FINANCES,FCP TOUNKARANKE,FCP,Obligataire (OLMT),2024-03-31,117860.6004,649762634
1,NSIA ASSET MANAGEMENT,AURORE OPPORTUNITES,FCP,Actions ,2024-03-31,6119.33334451,3262932463
2,NSIA ASSET MANAGEMENT,NSIA FONDS DIVERSIFIE,FCP,Diversifié,2024-03-31,5836.7938118552,17082587568
3,NSIA ASSET MANAGEMENT,AURORE SECURITE,FCP,Obligataire (OLMT),2024-03-31,5786.029954135,30691633575
4,NSIA ASSET MANAGEMENT,NSIA ASSURANCES OPTIMUM,FCP,Diversifié,2024-03-31,1037220.4907762,2716361035
5,NSIA ASSET MANAGEMENT,EVOLUTIS,FCPE,Diversifié,2024-03-31,4450.8477446488,989933316
1,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM ACTIONS,FCP,Actions ,2024-03-31,ND,ND
2,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE EQUILIBRE,FCP,Diversifié,2024-03-31,ND,ND
3,PHOENIXAFRICA ASSET MANAGEMENT,FCP PAM DIVERSIFIE OBLIGATIONS,FCP,Diversifié,2024-03-31,ND,ND
1,SGA2E,SODECI,FCPE,Diversifié,2024-03-31,9453.36,19287413713
2,SGA2E,CIE,FCPE,Diversifié,2024-03-31,7765.12,38600853222
1,OPTI ASSET MANAGEMENT,FCP 1 OPTI PLACEMENT,FCP,Actions ,2024-03-31,15921.87,480894806
2,OPTI ASSET MANAGEMENT,FCP 2 OPTI REVENU,FCP,Obligataire (OLMT),2024-03-31,8682.69,9904238829
3,OPTI ASSET MANAGEMENT,FCP 3 OPTI CAPITAL,FCP,Diversifié,2024-03-31,19777.58,1201683852
1,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL GARANTI,FCP,Diversifié,2024-03-31,16156.4557,1484455146
2,ENKO CAPITAL WEST AFRICA,ENKO CAPITAL OBLIGATIONS,FCP,Obligataire (OLMT),2024-03-31,11491.1098,3766487010
3,ENKO CAPITAL WEST AFRICA,PATRIMOINE,FCP,Obligataire (OLMT),2024-03-31,12338.8402,27363537347
1,BOA CAPITAL CAM,FCP Emergence,FCP,Diversifié,2024-03-31,7521.08,27126279919
2,BOA CAPITAL CAM,FCP Tréso Monéa,FCP,Obligataire (OLMT),2024-03-31,39758432.32,25802300182
3,BOA CAPITAL CAM,FCP Global investors,FCP,Diversifié,2024-03-31,31649.66,10333614270
4,BOA CAPITAL CAM,FCP BOA actions,FCP,Actions ,2024-03-31,13218.41,350541734
5,BOA CAPITAL CAM,FCP BOA obligations,FCP,Obligataire (OLMT),2024-03-31,12740.8,49058823357
6,BOA CAPITAL CAM,FCP Saham Performance,FCP,Actions ,2024-03-31,153048.2,363642527
7,BOA CAPITAL CAM,FCP BOA rendement,FCP,Obligataire (OLMT),2024-03-31,35944365.74,49068200568
8,BOA CAPITAL CAM,FCP BOA sécurité,FCP,Obligataire (OLMT),2024-03-31,113418.28,39445378488
9,BOA CAPITAL CAM,FCP BOA BONDS,FCP,Obligataire (OLMT),2024-03-31,101258.62,207171391
10,BOA CAPITAL CAM,FCP BOA premium,FCPE,Diversifié,2024-03-31,84400.26,182401087
1,BNI GESTION,OBLIG SECURITE,FCP,Obligataire (OLMT),2024-03-31,10230,698953392
2,BNI GESTION,KARIMA ETHIQUE,FCP,Diversifié,2024-03-31,1982,119869494
3,BNI GESTION,CNRA,FCPE,Diversifié,2024-03-31,3376.86,134104805
4,BNI GESTION,INITIATIVE SOLIDARITE,FCP,Diversifié,2024-03-31,4999.89,161041511
5,BNI GESTION,BNI RETRAITE,FCPE,Diversifié,2024-03-31,4356.46,342178299
6,BNI GESTION,SODEFOR COMPLEMENTAIRE RETRAITE,FCPE,Diversifié,2024-03-31,6383.12,395510744
7,BNI GESTION,CAPITAL CROISSANCE,FCP,Diversifié,2024-03-31,14139,19595833255
8,BNI GESTION,DYNAMIC SAVINGS ,FCP,Actions ,2024-03-31,9398,5245751527
